Reviewer,Review,Review_en,SeparatedSentences,ReviewDate
根,为什么就连在美国电影里，这么美这么成功的女性还是得接受一个如此平凡还出轨的丈夫？,Why even such a beautiful and successful woman in American movies has to accept such an ordinary and cheating husband?,Why even such a beautiful and successful woman in American movies has to accept such an ordinary and cheating husband?,2017-05-29 23:18:52
伊拉克洗衣粉,全靠德尼罗撑着。前半段好看，后半段价值观温吞保守又缩回去了。德尼罗的人设过于完美了一点,"It all depends on De Niro.The first half looked good, the second half values swallowed conservative and retreated.De Niro's people are a little too perfect.","It all depends on De Niro.The first half looked good, the second half values swallowed conservative and retreated.De Niro's people are a little too perfect.",2015-10-04 11:42:38
朝阳区陆依萍,对我来说，每年能出一两部这样好看又能释放泪点的温馨小品，世界都会更美好.....,"For me, the world will be a better place if I can make one or two such warm skits every year that look good and release tears.。。。。","For me, the world will be a better place if I can make one or two such warm skits every year that look good and release tears.。。。。",2015-12-19 11:25:08
张佳玮,当年海瑟薇介入斯特里普的女强人生活，现在德尼罗反侵海瑟薇的生活……其实有点野心的，想讨论事业女性和长不大一代的问题，但浮了点。我挺喜欢海瑟薇，但她的每个小表情都有种演练好了放出来的感觉，尤其跟德尼罗那份从容自在相比。另外德尼罗真的好帅……………,"When Hathaway intervened in Streep's strongwoman life, now De Niro anti-invasion Hathaway life……actually a little ambitious, trying to discuss career women and the older generation, but floating a bit.I like Hathaway a lot, but every little expression of her has a sense of rehearsal and release, especially compared to De Niro's relaxed share.And De Niro is really handsome...…………","When Hathaway intervened in Streep's strongwoman life, now De Niro anti-invasion Hathaway life……actually a little ambitious, trying to discuss career women and the older generation, but floating a bit.I like Hathaway a lot, but every little expression of her has a sense of rehearsal and release, especially compared to De Niro's relaxed share.And De Niro is really handsome...…………",2016-01-25 21:14:56
同志亦凡人中文站,好久没看到安妮公主了，有种久别重逢的喜悦，但电影感觉就是麻麻，尤其在“时尚女魔头”把职业女性和老少配标杆都立得那么高之后，这部也太温吞中庸了吧——缺少化学反应的两主角就像在互发好人卡...,"It's been a long time since I've seen Princess Anne, but the movie feels numb, especially after ""Fashion Witch"" has set the bar so high for professional women and young people, it's also too warm and mediocre.。。","It's been a long time since I've seen Princess Anne, but the movie feels numb, especially after ""Fashion Witch"" has set the bar so high for professional women and young people, it's also too warm and mediocre.。。",2015-09-24 19:25:27
momofls,跟戏骨演戏的坏处就是不够好，戏就被对方吃没了。,"The bad thing about acting with the bones of the play is that it is not good enough, and the play is eaten up by the other party.","The bad thing about acting with the bones of the play is that it is not good enough, and the play is eaten up by the other party.",2015-10-16 1:37:04
Aray,安妮·海瑟薇真是怎么穿都挺好看。,Anne Hathaway looks great on you.,Anne Hathaway looks great on you.,2015-12-20 22:43:34
影志,新鲜捧腹的笑料细节：敲字有声、按摩会硬、雷鸣打鼾…拥有一生丰富经验的老姜、再高的学历也需要获得工作认同、找回现代少有的绅士礼节…Nancy Meyers总能在落俗的题材中拍的不俗，最爱的chick flick导演。“希望这只是一时的误判，而不是爱情…这快乐是她应得的” 放慢节奏，享受生活的太极。,"Freshly held laughter details: tapping words, massage will be hard, thunder snoring…With a lifetime of experience in the old ginger, no matter how high the academic qualifications also need to get job recognition, to find the rare modern gentleman manners… Nancy Meyers can always take a good picture in the vulgar subject matter, favorite chick flick director.""Hopefully it's just a momentary misjudgment, not love...This joy is what she deserves"" Slow down and enjoy life in Tai Chi.","Freshly held laughter details: tapping words, massage will be hard, thunder snoring…With a lifetime of experience in the old ginger, no matter how high the academic qualifications also need to get job recognition, to find the rare modern gentleman manners… Nancy Meyers can always take a good picture in the vulgar subject matter, favorite chick flick director.",2016-01-03 23:51:49
影志,新鲜捧腹的笑料细节：敲字有声、按摩会硬、雷鸣打鼾…拥有一生丰富经验的老姜、再高的学历也需要获得工作认同、找回现代少有的绅士礼节…Nancy Meyers总能在落俗的题材中拍的不俗，最爱的chick flick导演。“希望这只是一时的误判，而不是爱情…这快乐是她应得的” 放慢节奏，享受生活的太极。,"Freshly held laughter details: tapping words, massage will be hard, thunder snoring…With a lifetime of experience in the old ginger, no matter how high the academic qualifications also need to get job recognition, to find the rare modern gentleman manners… Nancy Meyers can always take a good picture in the vulgar subject matter, favorite chick flick director.""Hopefully it's just a momentary misjudgment, not love...This joy is what she deserves"" Slow down and enjoy life in Tai Chi.","""Hopefully it's just a momentary misjudgment, not love...This joy is what she deserves"" Slow down and enjoy life in Tai Chi.",2016-01-03 23:51:49
伍德与夏洛蒂,高情商绅士天使和布鲁克林天才甜心的相遇，全都揉进了日式温情的小夜曲里。从致敬、回眸到配乐，都击退了我30岁危机的阴霾。Jules是未来，但Ben才是那个拥有全世界的人。亲爱的，我想你学会包容、平和与真挚的体会生命中的每件事，that's the most beatiful thing in my life.,"The encounter between the angel of high emotional intelligence and the sweetheart of Brooklyn genius is all rubbed into the Japanese-style warm serenade.From homage, back-to-back to soundtracks, it's fought off the gloom of my 30-year-old crisis.Jules is the future, but Ben is the one who owns the world.That's the most beautiful thing in my life.","The encounter between the angel of high emotional intelligence and the sweetheart of Brooklyn genius is all rubbed into the Japanese-style warm serenade.From homage, back-to-back to soundtracks, it's fought off the gloom of my 30-year-old crisis.Jules is the future, but Ben is the one who owns the world.That's the most beautiful thing in my life.",2015-12-25 2:29:36
胖达叔,老了之后就想变成德尼罗这样的老人，绅士、深邃、人精一样，从海瑟薇的角度讲，谁不想在人生关键时期能够有一个久经风霜的老人给予人生的指导，指导的内容其实开头和结尾都表现出来了：太极拳——慢一点，再慢一点,"From Hathaway's point of view, who doesn't want to be able to have an old man who has experienced hardships in life, the content of the guidance is actually shown at the beginning and end: Taijiquan - slow, slow, slow.","From Hathaway's point of view, who doesn't want to be able to have an old man who has experienced hardships in life, the content of the guidance is actually shown at the beginning and end: Taijiquan - slow, slow, slow.",2016-02-05 20:04:10
巴喆,善观察又不卑不亢，知冷暖又礼貌从容，给建议又从不越界，有原则又富有情趣，阅历丰富又从不显摆，做事得当为人合拍，年近七十的Ben堪称我辈典范！本片里又看到了德尼罗老年沉稳知性的一面，真不愧是全能戏神！7.6,"Good observation and not humble, warm and courteous, advice and never cross the line, principled and interesting, rich experience and never show off, do things properly, Ben is nearly 70 years old as a model of my generation!This movie also saw De Niro's old age calm and intelligent side, it is really all-powerful play God!7。6","Good observation and not humble, warm and courteous, advice and never cross the line, principled and interesting, rich experience and never show off, do things properly, Ben is nearly 70 years old as a model of my generation!This movie also saw De Niro's old age calm and intelligent side, it is really all-powerful play God!7。6",2017-02-05 12:58:03
十个斗的眼窝浅,一年半成就电商！女性完全可以执掌企业，男性完全可以当家庭妇男。职场新人类再也不是20出头的代名词，70岁了仍可做实习生。这是个淡化了性别和年龄的时代。只要你拥有健康的身体，积极的心态，一切皆有可能！很暖心的片子！安妮的衣服都好好看！,"A year and a half of e-commerce!Women can run businesses and men can be domestic men.New people in the workplace are no longer synonymous with their early 20s, and they can still work as interns at the age of 70.It's a time when gender and age are downplayed.As long as you have a healthy body and a positive mind, anything is possible!A very warm film!Annie's clothes look great!","A year and a half of e-commerce!Women can run businesses and men can be domestic men.New people in the workplace are no longer synonymous with their early 20s, and they can still work as interns at the age of 70.It's a time when gender and age are downplayed.As long as you have a healthy body and a positive mind, anything is possible!A very warm film!Annie's clothes look great!",2016-01-25 22:43:01
赫恩曼尼,德尼罗太暖了，隔着屏幕都感觉到他的温柔和高贵。,De Niro was so warm that he felt his tenderness and nobility across the screen.,De Niro was so warm that he felt his tenderness and nobility across the screen.,2017-01-16 0:21:59
虫拜女神银,天冷了喝点鸡汤，又名司机迷之消失,"It's cold, drink chicken soup, and the driver's fan disappears.","It's cold, drink chicken soup, and the driver's fan disappears.",2015-12-21 23:33:19
艾小柯,比较标准的chick flick，三观正、有幽默、有名角，最关键有美梦成真have it all. 无论如何，chick flick从爱情美满发展到不为家庭牺牲事业，这是巨大的社会进步！,"More standard chicken flick, three views, humor, famous characters, the most important thing is to have it all. In any case, the development of chuck flick from love to not sacrificing career for family is a huge social progress!","More standard chicken flick, three views, humor, famous characters, the most important thing is to have it all.",2016-01-04 22:16:58
